# 2022.12.04 created by TopoDroid v 5.1.40
# Francis
# from to tape compass clino (declination undefined)
# units tape meters compass clino degrees
A39@Francis,-,2.38,256.1,5.8,
A39@Francis,-,2.69,210.4,22.7,
A39@Francis,A40@Francis,0.82,115.3,-26.0,
A39@Francis,A40@Francis,0.81,116.2,-26.4,
A39@Francis,A40@Francis,0.81,116.5,-26.3,
A40@Francis,-,2.87,37.6,-28.6,
A40@Francis,-,0.38,359.5,-60.4,
A40@Francis,-,5.25,19.8,-84.3,
A40@Francis,-,2.90,68.6,72.0,
A40@Francis,-,6.60,59.1,-52.1,
A40@Francis,-,8.98,59.0,-51.9,
A40@Francis,-,6.53,59.2,-52.1,
A40@Francis,-,6.51,59.3,-52.1,
A40@Francis,-,0.63,340.8,0.2,
A40@Francis,-,0.97,130.3,17.4,
A40@Francis,-,5.83,129.1,82.0,
A40@Francis,-,1.48,301.5,-75.4,
A40@Francis,A41@Francis,4.39,56.5,-11.0,
A41@Francis,A42@Francis,2.73,157.5,-13.9,
A42@Francis,-,3.59,57.9,5.7,
A42@Francis,-,3.22,32.2,-1.3,
A42@Francis,-,11.21,102.2,-1.4,
A42@Francis,-,3.47,81.9,2.0,
A42@Francis,-,2.12,140.4,11.9,
A42@Francis,-,4.40,282.3,11.4,
A42@Francis,-,3.16,178.9,33.3,
A42@Francis,-,4.32,256.2,27.6,
A42@Francis,-,6.02,240.0,50.8,
A42@Francis,-,15.69,229.3,77.7,
A42@Francis,-,4.17,165.3,53.7,
